Id,SpecialOptions,es-es,en-us,ca
Games,,Juegos,Games,Jocs
Other,,Más,More,Més
Settings,,Ajustes,Settings,Configuració
Drinks,,Bebidas,Drinks,Begudes
NonAppGames,,Juegos sin app,Non-App Games,Jocs sense l'app
Feedback,,Feedback,Feedback,Feedback
DR1N,,Ron,Rum,Ron
DR1D,,"<b>Mojito</b><br>Se mezclan dos cucharadas de azúcar, se estrujan ramas de menta/hierbabuena y se añade un poco de zumo de lima y un chorrito de soda y se rellena el vaso con hielo picado y ron.<br><br><b>Piña Colada</b><br>Mezcla de ron blanco, zumo de piña natura, leche de coco y hielo picado.","<B>Mojito</b><br>Mix two tablespoons of sugar you, branches are crushed mint / mint and add a little lime juice and a splash of soda and glass filled with crushed ice and rum.<br><br><b>Piña Colada</b><br>Mix of white rum, pineapple juice natura, coconut milk and crushed ice.","<b>Mojito</b><br>Es barregen dues cullerades de sucre, s'esprem menta i s'afegeix una mica de suc de llima i un rajolí de soda. S'omple el got amb gel picat i rom.<br><br><b>Pinya Colada</b><br>Mescla de rom blanc, suc de pinya natural, llet de coco i gel picat."
DR2N,,Ginebra,Gin,Ginebra
DR2D,,<b>Gry Martini</b><br>Ginebra con martini o vermut seco y hielo.<br><br><b>Gin Tonic</b><br>Ginebra con tónica adornada con una rodaja de limón.<br><br><b>Bull Dog</b><br>Mezcla de zumo de naranja con ginebra en un vaso con hielo.,<B>Gry Martini</b><br>Geneva with martini or dry vermouth and ice.<br><br><b>Gin Tonic</b><br>Gin and tonic garnished with a slice of lemon.< br><br><b>Bull Dog</b><br>Mix orange juice with gin into a glass with ice.,<B>Gry Martini</b><br>Ginebra amb martini o vermut sec i gel.<br><br><b>Gin Tonic</b><br>Ginebra amb tònica adornada amb una rodanxa de llimona.<br><br><b>Bull Dog</b><br>Barreja de suc de taronja amb ginebra en un got amb gel.
DR3N,,Vodka,Vodka,Vodka
DR3D,,"<b>Cubatas</b><br>El vodka se puede mezclar fácilmente con sprite, bebidas energéticas, tónica, zumo de fruta (piña, naranja, arándano, lima, etc.), triple sec, crema de menta, martini, bebidas isotónicas, etc.<br><br><b>Chocolate Martini</b><br>Vodka mezclado con licor de cacao y un poco de sirope de chocolate.<br>También se puede sustituir el vodka por ron blanco, brandy, etc.","<B>Mix</b><br>Vodka can be easily mixed with lemonade, energy drinks, tonic, fruit juice (pineapple, orange, cranberry, lime, etc.), triple sec, crème de menthe, martini, isotonic drinks, etc.<br><br><b>Chocolate Martini</b><br>Vodka mixed with cocoa liquor and some chocolate syrup.<br>You can also substitute vodka for white rum, brandy, etc.","<b>Cubates</b><br>El vodka es pot barrejar fàcilment amb sprite, begudes energètiques, tònica, suc de fruita (pinya, taronja, nabiu, llima, etc.), triple sec, crema de menta, martini, begudes isotòniques, etc.<br><br><b>Martini de Xocolata</b><br>Vodka barrejat amb licor de cacau i una mica de xarop de xocolata.<br>També es pot substituir el vodka per rom blanc, brandi, etc."
DR4N,,Aigua de València,Aigua de València,Aigua de València
DR4D,,Mezcla un tercio de zumo de naranja con un tercio de cava o champán.<br><br>A continuación se le añade un tercio más de ginebra con vodka.<br><br>Para terminar se añadirá el azúcar al gusto de cada uno.<br><br>Algunas versiones intercambian el vodka por ron o el cava/champán por sidra achampanada.,"Mix one-third of orange juice with a third of cava or champagne.<br><br>Then, add a third more of gin with vodka.<br><br>Finally sugar is added to the taste of each one.<br><br>Some versions exchange vodka for rum or the cava/champagne for spanish cider.",Barreja un terç de suc de taronja amb un terç de cava o xampany.<br><br>A continuació se li afegeix un terç més de ginebra amb vodka.<br><br>Per acabar s'afegirà el sucre a gust de cada un.<br><br>Algunes versions intercanvien el vodka per rom o el cava/xampany per sidra achampanada.
DR5N,,Tumbabarcos,Tumbabarcos,Tumbabarcos
DR5D,,Poner en una garrafa de 5 litros:<br><br> 2 litros de Fanta de naranja<br> 1 botella de Absolut<br> 1 botella de licor de manzana<br> 2 latas de Red Bull<br><br>y... ¡AGITAR!,Put in a 5 liter jug:<br><br> 2 liters of orange Fanta<br> 1 bottle of Absolut<br> 1 bottle of apple liqueur<br> 2 cans of Red Bull<br><br>and... SHAKE!,Posar en una garrafa de 5 litres:<br> 2 litres de Fanta de taronja.<br> 1 litre d'Absolut<br> 1 ampolla de licor de poma<br> 2 llaunes de Red Bull<br><br>i... A REMENAR!
GA1N,,Mechero,The Lighter,Flamisell
GA1D,,Uno por uno los integrantes del grupo tendrán que intentar encender un mechero a la primera.<br><br>En el caso de que no lo consigan tendrán que beber o hacer la prueba que el grupo decida.,"One by one the members of the group will have to try to light a lighter at the first try.<br><br>If they do not succeed, they will have to drink or do a the test that the group decides.",Un per un els integrants de el grup hauran d'intentar encendre un flamisell a la primera.<br><br>En el cas que no ho aconsegueixin hauran de beure o fer la prova que el grup decideixi.
GA2N,,Llámame,Call Me,Truca'm
GA2D,,Uno de los miembros del grupo tendrá que decir su número de teléfono en voz alta.<br><br>La primera persona del grupo que consiga llamarle reparte 4 tragos.<br><br><br><i>No te distraigas y apunta los que te interesen.</i>,One member of the group will have to say their phone number aloud.<br><br>The first person to call that number can choose 4 people that must drink.<br><br><i>Do not be distracted and take note of those that interest you the most.</i>,"Un dels membres de el grup haurà de dir el seu número de telèfon en veu alta.<br><br>La primera persona de el grup que aconsegueixi trucar al número dit, reparteix en 4 glops.<br><i>No et distreguis i apunta els que t'interessin.</i>"
GA3N,,Más Probable,Most likely,Més Probable
GA3D,,"Dos miembros del grupo se ponen de espaldas con una copa en la mano. Se les hará una pregunta sobre quién tiene más probabilidades de hacer algo (por ejemplo, quién tiene más probabilidades de tener sexo esta noche).<br><br>Quien piense que tiene más probabilidades sobre lo que se pregunta, tendrá que beber.<br><br>Si ambos o ninguno bebe, recibirán otra pregunta, de lo contrario, la pareja cambiará.","Two members of the group stay back to back with a drink in hand. They will be asked a question about who is most likely to do something (e.g. who is most likely to have sex tonight).<br><br>Whoever thinks has more probability on what is questioned, will have to drink.<br><br>If both or neither drink, they will receive another question, otherwise, the couple will switch.","Dos membres del grup es posen d'esquenes amb una copa a la mà. Se'ls farà una pregunta sobre qui és més probable que faci alguna cosa (per exemple, qui és més probable que tingui relacions sexuals aquesta nit).<br><br>Qui pensi que té més probabilitats sobre el que es qüestiona, haurà de beure.<br><br>Si els dos o cap beuen, rebran una altra pregunta, en cas contrari, la parella canviarà."
GA4N,,Preguntas rápidas,Quick questions,Preguntes ràpides
GA4D,,Se elige a un jugador para que empiece. Éste tendrá que hacer una pregunta a alguien del grupo.<br><br>La persona a la que hayan preguntado tendrá que hacer otra pregunta en menos de 3 segundos a otra persona.<br><br>Si no la hace tendrá que responder a la pregunta que le han hecho o le tocará beber.,"A player is choosen to start. This one will have to ask a question to someone from the group.<br><br>The asked person will have to ask another question in less than 3 seconds to someone else.<br><br>If it is not done, the asked person must answer the question done to them or drink.",S'escull a un jugador per a que comenci. Aquest haurà de fer una pregunta a algú de el grup.<br><br>La persona a la qual hagin preguntat haurà de fer una altra pregunta en menys de 3 segons a una altra persona.<br><br>Si no la fa haurà de respondre a la pregunta que li han fet o li tocarà beure.
GA5N,,La Moneda,The coin,La Moneda
GA5D,,"Un jugador hará una pregunta en secreto a alguien del grupo. Esa persona estará obligada a responder y todo el grupo deberá poder escuchar la respuesta.<br><br>Tras hacerlo, se lanzará una moneda al aire y, si sale cara, se tendrá que decir la pregunta en voz alta. En caso contrario, no pasará nada y será el turno de otro jugador.","A player will ask a question someone secretly to someone. That person is obliged to respond and the whole group must be able to hear the answer.<br><br>After doing so, a coin will be dropped. If it comes up heads, you will need to speak the question aloud. Otherwise, nothing will happen and another's player turn will begin.","Un jugador farà una pregunta en secret a algú de el grup. Aquesta persona està obligada a respondre i tot el grup ha de poder escoltar la resposta.<br><br>Després de fer-ho, es llançarà una moneda a l'aire i, si surt cara, s'haurà de dir la pregunta en veu alta. En cas contrari, no passarà res i serà el torn d'un altre jugador."
GA6N,,Nombres,Names,Noms
GA6D,,"Un jugador elige a quién hacerle una pregunta secreta que se tendrá que poder responder con el nombre de aguien del grupo (ejemplo: ¿quién crees que besa mejor?).<br><br>Tras formular la pregunta, a la cuenta de tres, la persona que haya preguntado y a la que le toque responder tendrán que decir el nombre de la persona que piensen que dirá el/la preguntado/a en voz alta.<br><br>Si el nombre coincide se revelará la pregunta, si no, le toca preguntar a otro jugador.<br><br>Extra: Si se coincide con el nombre, la persona nombrada gana una vida que podrá gastar para revelar cualquier pregunta en la que se le nombre.","A player will ask a secret question to someone that will have to be answered with the name of a group's person (e.g.: who do you think kisses best?).<br><br>After asking, at the count of three, the person who has asked and who has to answer will have to say the name of the person they think as the answer of the question out loud.<br><br>If the name matches, the question will be revealed. If it does not, it is the next player's turn to ask someone.<br><br>Extra: If the name matches, the named person earns a life that he can spend to reveal any question in which was named.","Un jugador farà una pregunta secreta a algú que s'haurà de poder respondre amb el nom d'algú del grup (Ex: Qui creus que besa millor?).<br><br>Després de preguntar-ho, a la de tres, la persona que ha preguntat i qui ha de respondre haurà de dir en veu alta el nom de la persona que pensen com a resposta de la pregunta.<br><br>Si el nom coincideix, es revelarà la pregunta. Si no ho fa, és el torn del següent jugador per a preguntar a algú.<br><br>Norma extra: si el nom coincideix, la persona nomenada guanya una vida que pot utilitzar per a revelar qualsevol pregunta en què sigui nomenada."
GA7N,,¿Del 1 al qué?,From one to what?,De l'1 a l'què?
